timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,orientation,timetable_page_id,timetable_sequence
0,2034,,20150101,20151122,1,1,1,1,1,1,0,1 Northbound,Mon-Sat,horizontal,1,0
1,2035,,20150819,20151122,1,1,0,1,1,0,0,1T Northbound,"Mon,Tue,Thur,Fri",horizontal,1,0
2,2035,,20150819,20151122,0,0,1,0,0,0,0,1T Southbound,Wednesday,horizontal,1,0
3,2036,,20150101,20151122,0,0,0,0,0,0,1,2 Eastbound,Sunday,horizontal,1,0
4,2036,,20150101,20151122,1,1,1,1,1,0,0,2 Westbound,Mon-Fri,horizontal,1,0
5,2036,,20150101,20151122,0,0,0,0,0,1,0,2 Eastbound,Saturday,horizontal,1,0
6,2037,,20150101,20151122,1,1,1,1,1,0,0,3,Mon-Fri,horizontal,1,0
7,2038,,20150101,20151122,0,0,0,0,0,0,1,33,Sunday,horizontal,1,0
8,2038,,20150101,20151122,1,1,1,1,1,0,0,33,Mon-Fri,horizontal,1,0
9,2038,,20150101,20151122,0,0,0,0,0,1,0,33,Saturday,horizontal,1,0
10,2039,,20150101,20151122,0,0,0,0,0,0,1,11,Sunday,horizontal,1,0
11,2039,,20150101,20151122,1,1,1,1,1,0,0,11,Mon-Fri,horizontal,1,0
12,2039,,20150101,20151122,0,0,0,0,0,1,0,11,Saturday,horizontal,1,0
13,2040,,20150101,20151122,1,1,1,1,1,0,0,24,Mon-Fri,horizontal,1,0
14,2040,,20150101,20151122,0,0,0,0,0,1,0,24,Saturday,horizontal,1,0
15,2048,,20150819,20151122,1,1,0,1,1,0,0,3T,"Mon,Tue,Thur,Fri",horizontal,1,0
16,2048,,20150819,20151122,0,0,1,0,0,0,0,3T,Wednesday,horizontal,1,0
18,2049,,20150819,20151122,1,1,0,1,1,0,0,3S,"Mon,Tue,Thur,Fri",horizontal,1,0
19,2051,,20150819,20151122,1,1,0,1,1,0,0,33T,"Mon,Tue,Thur,Fri",horizontal,1,0
20,2051,,20150819,20151122,0,0,1,0,0,0,0,33T,Wednesday,horizontal,1,0
21,2052,,20150819,20151122,0,0,1,0,0,0,0,33M,Wednesday,horizontal,1,0
22,2052,,20150819,20151122,1,1,0,1,1,0,0,33M,"Mon,Tue,Thur,Fri",horizontal,1,0
